0_0,0_1,0_2,0_3,0_4,0_5,0_6,1_0,1_1,1_2,1_3,1_4,1_5,1_6,2_0,2_1,2_2,2_3,2_4,2_5,2_6
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,0.1,0.1,0.1,0.13,0.11,0.1,0.1,0.1,0.1,0.12,0.44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,0.1,0.1,0.11,0.15,0.12,0.1,0.1,0.1,0.1,0.14,0.83,0.12,0.1,0.1,0.1,0.1,0.1,0.13,0.1,0.1,0.1
3,0.1,0.1,0.11,0.18,0.11,0.11,0.1,0.1,0.1,0.23,1.06,0.18,0.1,0.1,0.1,0.1,0.11,0.2,0.11,0.1,0.1
4,0.1,0.1,0.14,0.28,0.12,0.11,0.1,0.1,0.11,0.23,1.28,0.2,0.1,0.11,0.1,0.12,0.11,0.26,0.13,0.1,0.1
5,0.1,0.1,0.14,0.28,0.13,0.1,0.11,0.1,0.12,0.28,1.56,0.23,0.1,0.11,0.1,0.12,0.12,0.34,0.16,0.1,0.1
6,0.1,0.11,0.16,0.34,0.15,0.1,0.11,0.1,0.13,0.32,1.75,0.31,0.1,0.11,0.1,0.12,0.15,0.37,0.18,0.1,0.1
7,0.09,0.12,0.17,0.42,0.16,0.1,0.11,0.1,0.16,0.38,1.85,0.37,0.11,0.11,0.1,0.12,0.18,0.44,0.2,0.11,0.1
8,0.09,0.14,0.17,0.47,0.18,0.11,0.11,0.1,0.17,0.46,1.89,0.49,0.11,0.11,0.1,0.12,0.22,0.54,0.21,0.11,0.1
9,0.09,0.14,0.2,0.55,0.21,0.11,0.11,0.1,0.18,0.52,1.95,0.56,0.13,0.11,0.1,0.13,0.22,0.65,0.23,0.1,0.11
10,0.09,0.15,0.24,0.6,0.26,0.12,0.11,0.1,0.2,0.53,2.07,0.56,0.14,0.11,0.11,0.14,0.28,0.7,0.27,0.11,0.11
11,0.1,0.16,0.27,0.7,0.3,0.13,0.11,0.11,0.18,0.64,2.2,0.57,0.15,0.11,0.11,0.16,0.32,0.65,0.31,0.11,0.11
