0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.45,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11
7,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11
8,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11
9,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.44,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11
10,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.12
11,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.12
12,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.1,0.12
13,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.1,0.12
14,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.1,0.12
15,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.43,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.1,0.12
16,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.42,0.11,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.11,0.09,0.1,0.12
17,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.42,0.11,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.11,0.09,0.1,0.12
18,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.4,0.11,0.11,0.1,0.1,0.13,0.11,0.1,0.1,0.11,0.09,0.1,0.12
19,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.4,0.12,0.11,0.1,0.1,0.13,0.11,0.1,0.1,0.11,0.09,0.1,0.12
